start time,1631469037.5784643
type,MM
depth,5
game,0
iterations,21
times of actions,"[[0, 1.7670352458953857], [1, 1.6234524250030518], [0, 1.9719502925872803], [1, 1.8749566078186035], [0, 2.0766444206237793], [1, 2.133042812347412], [0, 2.437742233276367], [1, 3.532999038696289], [0, 4.343055009841919], [1, 3.454447031021118], [0, 4.498037576675415], [1, 3.453993320465088], [0, 5.174999237060547], [1, 3.9793028831481934], [0, 5.795450448989868], [1, 3.284958600997925], [0, 4.2817702293396], [1, 3.651991605758667], [0, 3.4187467098236084], [1, 2.406702995300293], [0, 3.253038167953491]]"
winner,red
game,1
iterations,14
times of actions,"[[0, 1.734288215637207], [1, 1.665048360824585], [0, 1.9459939002990723], [1, 1.9460210800170898], [0, 2.0870373249053955], [1, 2.3359744548797607], [0, 2.272040367126465], [1, 2.096998453140259], [0, 2.255042552947998], [1, 2.4699618816375732], [0, 2.4812815189361572], [1, 2.460026741027832], [0, 2.6679933071136475], [1, 2.5140023231506348], [0, 2.464036464691162]]"
winner,none
game,2
iterations,29
times of actions,"[[0, 1.7327852249145508], [1, 1.6619954109191895], [0, 2.0148165225982666], [1, 1.9339993000030518], [0, 2.2329800128936768], [1, 2.1272759437561035], [0, 2.4210398197174072], [1, 3.441044330596924], [0, 4.478039026260376], [1, 3.6911776065826416], [0, 4.6829328536987305], [1, 3.5397653579711914], [0, 4.450969457626343], [1, 3.6400039196014404], [0, 4.426999092102051], [1, 3.3899953365325928], [0, 4.488983392715454], [1, 3.5148942470550537], [0, 4.258037328720093], [1, 3.069519519805908], [0, 3.410006284713745], [1, 1.924802541732788], [0, 3.039982795715332], [1, 1.9939579963684082], [0, 2.766007661819458], [1, 2.3206801414489746], [0, 2.9110491275787354], [1, 2.1179986000061035], [0, 2.944056987762451]]"
winner,red
game,3
iterations,21
